Length1,Length2,Length3,Length4,Length5,Length6,Length7,Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Max Gain (dB),Real Impedance Penalty,Imaginary Impedance Penalty
0.3430000000000001,0.3229999999999999,0.304,0.3,0.29599999999999993,0.29200000000000004,0.289,0.09723592638193941,0.10140287580870905,0.1343821791061231,0.1404539597781542,0.22839629325963165,0.13947522620683314,10.57,28.8201,20.4487
0.343,0.32299999999999995,0.304,0.3,0.29600000000000004,0.292,0.289,0.12800991010790716,0.10903224510149062,0.11165215842365775,0.1406321865874404,0.16843345016507694,0.14416934539786913,10.1,0.005899999999996908,30.1188
0.343,0.32299999999999995,0.304,0.3,0.29600000000000004,0.292,0.289,0.12800991010790716,0.10903224510149062,0.11165215842365775,0.1406321865874404,0.16843345016507694,0.14416934539786913,10.1,0.005899999999996908,30.1188
0.343,0.32299999999999995,0.304,0.3,0.29600000000000004,0.292,0.289,0.12800991010790716,0.10903224510149062,0.11165215842365775,0.1406321865874404,0.16843345016507694,0.14416934539786913,10.1,0.005899999999996908,30.1188
0.3430000000000001,0.32299999999999984,0.304,0.30000000000000004,0.29599999999999993,0.29200000000000004,0.2889999999999999,0.08229159171248757,0.10127637025336457,0.13633428443058737,0.14087626533096026,0.09463755468265012,0.14021292102087682,9.44,0.6343000000000032,0.178254
0.3430000000000001,0.3229999999999999,0.304,0.3,0.29599999999999993,0.29200000000000004,0.289,0.09723592638193941,0.10140287580870905,0.1343821791061231,0.12294160327795643,0.22839629325963165,0.13947522620683314,10.53,36.5959,20.0474
0.3430000000000001,0.323,0.304,0.3,0.296,0.292,0.2889999999999999,0.14091567439233435,0.09780056257059433,0.13869389829510778,0.13218422859194764,0.11816253125967396,0.13644689714732489,9.69,0.048699999999996635,1.4075
0.3430000000000001,0.32299999999999995,0.304,0.29999999999999993,0.296,0.2919999999999999,0.2889999999999999,0.09380632816651592,0.09721526251438728,0.13833065245021306,0.1326377701194587,0.1408401191405969,0.1623513852111501,10.28,33.4296,4.44452
0.3430000000000001,0.323,0.304,0.3,0.29600000000000004,0.2919999999999999,0.28900000000000003,0.09891306853971477,0.10105282275343815,0.14318177668173615,0.13301671676126472,0.15004611740217969,0.1336305000600565,10.13,20.236,7.57227
0.3430000000000001,0.32299999999999995,0.30400000000000005,0.3,0.296,0.292,0.289,0.09809397486306812,0.09474102513614835,0.1330310100920166,0.1382979645037329,0.1822586783461332,0.12896402288811115,10.45,13.387900000000002,15.5972
0.3430000000000001,0.323,0.304,0.3,0.2960000000000001,0.292,0.2889999999999999,0.11741427352675765,0.1067476326078739,0.1257186616126681,0.13501572528234018,0.14403350836501186,0.13839776269927773,9.96,0.23899999999999721,21.2535
0.343,0.32299999999999995,0.304,0.3,0.29599999999999993,0.292,0.289,0.12687250409645467,0.09690195724133935,0.1323648871686461,0.1348009883046099,0.17237282951632577,0.14592436376744822,10.31,21.5404,5.27484
0.3430000000000001,0.32299999999999995,0.30400000000000005,0.30000000000000004,0.296,0.292,0.289,0.11168466900603488,0.0967911448632101,0.13129366297741868,0.13427500798117697,0.1756805409297242,0.1489417683688714,10.37,25.9708,6.31315
0.3430000000000001,0.32299999999999995,0.304,0.3,0.2960000000000001,0.292,0.2889999999999999,0.11657034014376137,0.10095877287338878,0.13174647863556033,0.1398353475269297,0.16242000355871555,0.13148963009682343,10.2,5.0334,12.9012
0.343,0.323,0.30399999999999994,0.3,0.29600000000000004,0.29200000000000004,0.289,0.13869045148596373,0.11979686584342775,0.1274429401119482,0.15284552174049684,0.14649753963143647,0.13704352380823803,9.92,3.7325000000000017,0.507512
0.3430000000000001,0.32299999999999995,0.30400000000000005,0.3,0.296,0.292,0.289,0.09809397486306812,0.09474102513614835,0.1330310100920166,0.1382979645037329,0.1822586783461332,0.12952182495996178,10.45,13.675800000000002,15.0659
0.3430000000000001,0.323,0.304,0.3,0.2960000000000001,0.292,0.2889999999999999,0.11741427352675765,0.1067476326078739,0.13207765823950132,0.1489130826058319,0.14403350836501186,0.13839776269927773,10.08,11.513100000000001,4.63011
0.3430000000000001,0.323,0.304,0.3,0.296,0.292,0.2889999999999999,0.10957836847837238,0.10102800560792183,0.13984487889194802,0.13634584808157943,0.12125023539107144,0.1359242351514158,9.79,9.181899999999999,0.497952
0.3430000000000001,0.323,0.304,0.3,0.296,0.292,0.2889999999999999,0.10957836847837238,0.10102800560792183,0.13984487889194802,0.13634584808157943,0.12125023539107144,0.1359242351514158,9.79,9.181899999999999,0.497952
0.3430000000000001,0.323,0.304,0.3,0.296,0.292,0.2889999999999999,0.10957836847837238,0.10102800560792183,0.13984487889194802,0.13634584808157943,0.12125023539107144,0.1359242351514158,9.79,9.181899999999999,0.497952
0.3430000000000001,0.323,0.304,0.3,0.296,0.292,0.2889999999999999,0.10957836847837238,0.10102800560792183,0.13984487889194802,0.13634584808157943,0.12125023539107144,0.1359242351514158,9.79,9.181899999999999,0.497952
0.343,0.323,0.30399999999999994,0.3,0.29600000000000004,0.29200000000000004,0.289,0.13869045148596373,0.11979686584342775,0.13261317164384262,0.15284552174049684,0.14649753963143647,0.13704352380823803,9.96,16.247500000000002,0.545248
0.343,0.323,0.30399999999999994,0.3,0.29600000000000004,0.29200000000000004,0.289,0.13869045148596373,0.11979686584342775,0.13261317164384262,0.15284552174049684,0.14649753963143647,0.13704352380823803,9.96,16.247500000000002,0.545248
0.343,0.323,0.30399999999999994,0.3,0.29600000000000004,0.29200000000000004,0.289,0.13869045148596373,0.11979686584342775,0.13261317164384262,0.15284552174049684,0.14649753963143647,0.13704352380823803,9.96,16.247500000000002,0.545248
0.3430000000000001,0.32299999999999995,0.30400000000000005,0.30000000000000004,0.296,0.292,0.289,0.11168466900603488,0.0967911448632101,0.13660843968103453,0.13427500798117697,0.1756805409297242,0.1489417683688714,10.36,29.4671,5.73074
0.343,0.32299999999999995,0.304,0.3,0.29600000000000004,0.292,0.289,0.12800991010790716,0.10143428961700089,0.11165215842365775,0.13989413967470254,0.16843345016507694,0.14416934539786913,10.2,0.07430000000000092,26.959
0.3430000000000001,0.32299999999999995,0.30400000000000005,0.30000000000000004,0.296,0.292,0.289,0.11988635405858014,0.0967911448632101,0.13660843968103453,0.13427500798117697,0.1756805409297242,0.1489417683688714,10.34,28.7603,5.77093
0.3430000000000001,0.323,0.304,0.30000000000000004,0.29600000000000004,0.292,0.2889999999999999,0.11626094782926262,0.09968429416355068,0.1309791534544626,0.1346187065307849,0.13577238336185396,0.14045705955335247,9.99,1.3415999999999997,6.49383
0.3430000000000001,0.32299999999999995,0.30399999999999994,0.3,0.296,0.292,0.2889999999999999,0.10034434175296639,0.09733839708860537,0.1379220393682477,0.13248447444490716,0.14057416969315895,0.15472143522347398,10.2,27.3006,4.62631
0.343,0.32299999999999995,0.304,0.3,0.29600000000000004,0.292,0.289,0.1383871797845647,0.10087256691383709,0.13746596949278,0.13931133236156423,0.15740331474696997,0.12884055512576073,10.1,4.719700000000003,6.27495
